year_month,Uf,Product,unit,volume,created_at
2013-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL S-500 (m3),m3,23705.3,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL S-500 (m3),m3,240737.51,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL S-500 (m3),m3,220656.52,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL S-500 (m3),m3,88926.941,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL S-500 (m3),m3,82454.598,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL S-500 (m3),m3,628861.003,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL S-500 (m3),m3,341786.96,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL S-500 (m3),m3,108014.698,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL S-500 (m3),m3,92444.418,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL S-500 (m3),m3,5890.73,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL S-500 (m3),m3,981.225,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL S-500 (m3),m3,28780.9,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL S-500 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL S-1800 (m3),m3,57128.718,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL S-1800 (m3),m3,14139.166,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL S-1800 (m3),m3,97615.793,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL S-1800 (m3),m3,5462.8,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL S-1800 (m3),m3,138496.156,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL S-1800 (m3),m3,36902.285,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL S-1800 (m3),m3,58116.55,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL S-1800 (m3),m3,12291.8,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PIAUÍ,ÓLEO DIESEL S-1800 (m3),m3,10.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,CEARÁ,ÓLEO DIESEL S-1800 (m3),m3,34480.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO NORTE,ÓLEO DIESEL S-1800 (m3),m3,48146.9,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARAÍBA,ÓLEO DIESEL S-1800 (m3),m3,61.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PERNAMBUCO,ÓLEO DIESEL S-1800 (m3),m3,267.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ALAGOAS,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL S-1800 (m3),m3,366934.587,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL S-1800 (m3),m3,380.45,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL S-1800 (m3),m3,52102.783,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL S-1800 (m3),m3,243383.286,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL S-1800 (m3),m3,14536.469,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL S-1800 (m3),m3,74259.53,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL S-1800 (m3),m3,129263.354,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL S-1800 (m3),m3,84477.19,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL S-1800 (m3),m3,2381033.9949999996,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL S-1800 (m3),m3,149833.82,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL S-1800 (m3),m3,29075.876,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL MARÍTIMO (m3),m3,2027.049,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL MARÍTIMO (m3),m3,25.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL MARÍTIMO (m3),m3,8964.348,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL MARÍTIMO (m3),m3,70.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL MARÍTIMO (m3),m3,7856.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL MARÍTIMO (m3),m3,100.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL MARÍTIMO (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL MARÍTIMO (m3),m3,797.0,2021-09-06 11:51:29.993326
